DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,-0.04336347,1.623538,0.1930017,0.04787012,0.0002566216,-0.001867055,0.9988518,-0.1427868,0.8704618,0.4183697,-0.392816,-0.09495803,0.1703015,-0.898708,0.2720157,0.7321482,-0.08420514,-0.7662494,-0.1998987,-0.03289387,-0.6097707
0.0139389,-0.04319781,1.624486,0.1974869,0.04651843,0.00068163,-0.001285707,0.9989164,-0.1367456,0.8845405,0.4344588,-0.3818734,-0.09775214,0.1649345,-0.9041095,0.2723433,0.7348073,-0.09385512,-0.7710282,-0.2057169,-0.02552511,-0.6021169
0.02773857,-0.04264465,1.62468,0.2021303,0.04454177,0.000613717,-0.001260749,0.9990066,-0.12996,0.8997648,0.4490032,-0.3695677,-0.104963,0.1524372,-0.9105852,0.2713318,0.7378216,-0.1044786,-0.7791479,-0.2103942,-0.01044216,-0.5903845
0.04162979,-0.04219915,1.625057,0.206568,0.04476978,0.001135669,-0.001261384,0.9989959,-0.1230284,0.9150186,0.4646135,-0.3523456,-0.1105006,0.146327,-0.9177312,0.2707744,0.7403481,-0.1152792,-0.7883177,-0.2154263,0.000923618,-0.5763211
0.05562019,-0.04132696,1.626018,0.2116217,0.04568838,0.001226268,-0.004300925,0.9989457,-0.1159892,0.9337236,0.4788578,-0.3279736,-0.1138843,0.1453936,-0.926458,0.2699383,0.7435808,-0.1239548,-0.7952317,-0.2175128,0.006750721,-0.5659056
0.06952477,-0.04066488,1.627626,0.2170572,0.04445024,0.001898648,-0.006920752,0.9989858,-0.1083983,0.9513501,0.4929884,-0.3033511,-0.1217996,0.1426905,-0.9342282,0.2702338,0.7465927,-0.1307268,-0.7968478,-0.2209758,0.00915973,-0.562245
0.08348083,-0.03962118,1.628959,0.2228819,0.04001941,0.002589469,-0.009465785,0.9991507,-0.1006161,0.9686344,0.5053508,-0.2805452,-0.1340498,0.1371892,-0.9404808,0.2713549,0.750195,-0.1360328,-0.7962551,-0.2281396,0.008860138,-0.5602247
0.09748459,-0.03854423,1.629564,0.2290879,0.03495541,0.003507294,-0.01152701,0.9993162,-0.0934067,0.9851501,0.5154614,-0.2592119,-0.1478917,0.1317896,-0.9452876,0.2724728,0.7536916,-0.1408537,-0.7997103,-0.2373166,0.01018207,-0.5513988
0.111393,-0.03721163,1.630276,0.2350733,0.03315714,0.004136589,-0.01257869,0.9993624,-0.08729445,0.9999097,0.5243886,-0.2391667,-0.1597604,0.1305998,-0.9487991,0.2734182,0.7569944,-0.1460629,-0.8037007,-0.2457368,0.01129699,-0.5418034
0.1253281,-0.03590022,1.630811,0.2412907,0.03253845,0.004743804,-0.01348275,0.9993683,-0.08240926,1.012401,0.5323937,-0.2226094,-0.1690674,0.1324993,-0.9509497,0.2740248,0.7603614,-0.1493681,-0.8056961,-0.2550395,0.01432915,-0.5344188
