DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,0.04775663,1.634622,0.1141026,0.02342756,-0.009986213,-0.004886242,0.9996637,-0.1343703,0.7582642,0.156075,-0.5734827,-0.02769472,0.1874542,-0.7970016,0.3047163,0.7346272,-0.002300444,-0.6939995,-0.1006557,-0.1046679,-0.7051792
0.01397705,0.04823681,1.634538,0.1151373,0.02228265,-0.009271943,-0.005000571,0.9996962,-0.1346733,0.7593199,0.1583374,-0.5693855,-0.02596681,0.1899718,-0.7993976,0.3051325,0.7345279,-0.002417799,-0.6950442,-0.1007391,-0.1037363,-0.7042755
0.02771568,0.04881422,1.634219,0.1161301,0.02209128,-0.008730394,-0.00508626,0.9997049,-0.1354104,0.7599174,0.1600842,-0.5682328,-0.02284901,0.1906909,-0.8001415,0.3055475,0.7342542,-0.002522313,-0.6961408,-0.1005991,-0.1024667,-0.7033978
0.04171181,0.049329,1.633925,0.1171392,0.02272865,-0.007898771,-0.005163283,0.9996971,-0.1362378,0.7601672,0.1613608,-0.5692962,-0.01928068,0.1884552,-0.8000092,0.3058272,0.7339429,-0.002466657,-0.6966444,-0.1001035,-0.1021913,-0.7030098
0.0556221,0.04981464,1.633547,0.1181634,0.02324965,-0.007481537,-0.00509033,0.9996887,-0.1370106,0.760153,0.1617955,-0.5706338,-0.01666605,0.185057,-0.7999082,0.3060469,0.7337974,-0.002273589,-0.6968592,-0.09939508,-0.1025609,-0.7028437
0.06971931,0.05043708,1.633389,0.1191988,0.02375979,-0.00745366,-0.00525071,0.9996761,-0.1377419,0.760042,0.1619536,-0.5713791,-0.0148959,0.1824722,-0.800005,0.3063198,0.7336631,-0.002039925,-0.696969,-0.09874207,-0.1032588,-0.7027246
0.08348083,0.05106366,1.633264,0.1203859,0.02426415,-0.007709112,-0.004919281,0.9996638,-0.1386762,0.7597833,0.162076,-0.5718263,-0.0136418,0.1817172,-0.7998797,0.3068089,0.733533,-0.001622693,-0.6970204,-0.09805971,-0.1041084,-0.7026439
0.09730339,0.05166761,1.633296,0.1217329,0.02433406,-0.007944909,-0.004840871,0.9996606,-0.1394935,0.7592947,0.1614563,-0.5724306,-0.01345689,0.1832313,-0.7991048,0.3072528,0.7334994,-0.001325383,-0.6971255,-0.09810325,-0.1044007,-0.7024901
0.1112614,0.05224083,1.633103,0.1230885,0.02393026,-0.008023052,-0.00499632,0.999669,-0.1402429,0.7589487,0.1612986,-0.5729299,-0.01284247,0.1845374,-0.7984563,0.3076363,0.7334516,-0.001112755,-0.6973903,-0.09828386,-0.1041903,-0.7022333
0.1251698,0.05295511,1.632515,0.1245712,0.02360358,-0.008078652,-0.005235286,0.999675,-0.1417464,0.75857,0.1615983,-0.5739745,-0.01079444,0.1863403,-0.7973167,0.3084567,0.7334023,-0.0006179262,-0.6980913,-0.09864321,-0.1037481,-0.7015514
0.1390896,0.05365088,1.632073,0.1259491,0.02393568,-0.008192238,-0.005159875,0.9996666,-0.1428396,0.7582293,0.1613003,-0.5747093,-0.009794779,0.1860551,-0.7968669,0.3091767,0.7332408,-6.404138E-05,-0.6985325,-0.09881821,-0.1031639,-0.7011737
0.1530685,0.05449964,1.631687,0.1273285,0.02484527,-0.008378205,-0.004629812,0.9996455,-0.1437084,0.7579353,0.1609073,-0.5750892,-0.009258825,0.1853574,-0.7967618,0.3095657,0.7331142,0.0003501887,-0.6985855,-0.09883691,-0.1030847,-0.7011299
0.1669159,0.05533834,1.631511,0.1289669,0.02542772,-0.008464692,-0.004134186,0.9996323,-0.1454718,0.7573349,0.1601903,-0.5758188,-0.008074089,0.1860599,-0.7960837,0.310047,0.7329862,0.001021899,-0.6986068,-0.09868206,-0.1029028,-0.7011573
0.1809044,0.05623186,1.631219,0.130532,0.02545636,-0.00841021,-0.003678062,0.9996338,-0.1482383,0.7563986,0.1587692,-0.5779685,-0.006232928,0.1883718,-0.793996,0.3106602,0.7326767,0.001854168,-0.6987471,-0.09851406,-0.1024202,-0.7011117
0.1948814,0.05723139,1.630822,0.1321729,0.0250888,-0.008298824,-0.003598545,0.9996443,-0.1507282,0.7554965,0.1568392,-0.5806996,-0.004623076,0.1883336,-0.7920209,0.3112086,0.7323213,0.00269181,-0.6989849,-0.09819302,-0.1018178,-0.7010074
0.208746,0.05824441,1.630509,0.133866,0.02430755,-0.008188635,-0.003644138,0.9996644,-0.1539039,0.7542719,0.1536555,-0.5847461,-0.00177085,0.1849071,-0.7898596,0.3118405,0.7317559,0.003775217,-0.6994225,-0.09714705,-0.1018007,-0.7007191
0.2226028,0.0593844,1.630682,0.1355788,0.02136742,-0.007959887,-0.003755726,0.999733,-0.1560305,0.7531021,0.1508162,-0.5883311,0.0006112899,0.1811857,-0.7880596,0.3126054,0.730812,0.00527193,-0.7002045,-0.09525712,-0.1021491,-0.7001466
0.2365894,0.06067692,1.630883,0.1372226,0.01658751,-0.007455391,-0.004085362,0.9998263,-0.1583334,0.7519025,0.1478761,-0.5918468,0.003841827,0.1789881,-0.7859173,0.3131419,0.7292944,0.007139256,-0.7020035,-0.0928362,-0.1006218,-0.6988905
0.2504539,0.06198708,1.631032,0.1388186,0.009891345,-0.006168966,-0.004229954,0.9999231,-0.1610492,0.7505168,0.1440943,-0.5954368,0.007696679,0.1785867,-0.783264,0.3136014,0.7264106,0.01116842,-0.70586,-0.08834415,-0.09805609,-0.6959469
0.2644386,0.06333748,1.630873,0.1403939,0.005418654,-0.005036764,-0.003048687,0.999968,-0.1635399,0.7492391,0.1405566,-0.5980046,0.01035626,0.1798931,-0.7809748,0.314017,0.7249942,0.01501973,-0.7065337,-0.08545929,-0.1013173,-0.6951559
0.2782879,0.06465007,1.630668,0.1416572,0.002964881,-0.004166213,-0.001368064,0.999986,-0.165916,0.7478876,0.1368424,-0.5997671,0.01277,0.1820154,-0.7790936,0.3154461,0.7241399,0.0214714,-0.7022794,-0.07958721,-0.1183314,-0.697472
