DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,0.05285353,1.637283,0.1154031,0.002588789,0.01046519,-0.001090558,-0.9999413,-0.16386,0.7339407,0.06614119,0.6260667,-0.02059522,-0.1682093,0.7611321,0.265101,0.7245791,0.04039929,0.6890954,0.0242145,0.1354523,0.7114871
0.01404762,0.05390332,1.636724,0.1168768,0.002484724,0.01132286,-0.003107344,-0.999928,-0.1672386,0.7331529,0.06370438,0.629006,-0.03874322,-0.154631,0.7608809,0.267226,0.7254959,0.04920385,0.679435,0.03070361,0.1273978,0.7219386
0.02780914,0.05502385,1.636273,0.1183622,0.002490398,0.01234503,-0.005365667,-0.9999063,-0.1701114,0.7321569,0.06119646,0.633259,-0.05581914,-0.1411785,0.7589044,0.2696134,0.7262245,0.05822212,0.6737432,0.0403902,0.1126089,0.7292174
0.04178238,0.05600483,1.635812,0.1197974,0.00329592,0.01353848,-0.007289516,-0.9998764,-0.1730741,0.7308275,0.05802499,0.6383774,-0.07424629,-0.1258356,0.7557296,0.2721635,0.7267331,0.06680787,0.6706463,0.05006146,0.09941837,0.7333781
0.05578995,0.05708765,1.63511,0.1211224,0.005488449,0.01508825,-0.009038152,-0.9998303,-0.1757018,0.7293879,0.054045,0.6435168,-0.08977477,-0.1130583,0.7516944,0.274719,0.7273542,0.07718685,0.6703917,0.05640985,0.09039993,0.7343165
0.06962967,0.0582124,1.634091,0.1225355,0.008709269,0.01676531,-0.01042738,-0.9997671,-0.1773844,0.7285142,0.05029339,0.6460228,-0.09781346,-0.105777,0.7495988,0.2762803,0.7289819,0.08960024,0.6669798,0.05568672,0.08830259,0.7377259
0.08360291,0.05936981,1.632761,0.1241069,0.0115747,0.01859559,-0.01232886,-0.999684,-0.1784194,0.7279592,0.0465684,0.6462563,-0.1010597,-0.1012362,0.7495939,0.2778128,0.7326747,0.1077966,0.6514099,0.05124805,0.09732141,0.7507112
0.09751511,0.06045558,1.631889,0.1257397,0.01280911,0.02039282,-0.01470955,-0.9996018,-0.1794017,0.7274065,0.04257923,0.6462703,-0.1033829,-0.09923335,0.7495328,0.2795402,0.7371696,0.1282345,0.6293922,0.04515198,0.1200611,0.7664281
0.1114445,0.06148169,1.631529,0.1274009,0.01317891,0.02199195,-0.01650956,-0.999535,-0.1805856,0.7265967,0.03810687,0.6470518,-0.108111,-0.09627838,0.7485763,0.2795234,0.741944,0.1499738,0.6084811,0.03362098,0.1443447,0.7796057
0.1252918,0.06270722,1.630876,0.1288968,0.01433779,0.02323535,-0.01821438,-0.9994612,-0.1819575,0.7254011,0.03297411,0.6491076,-0.1159742,-0.09104985,0.7462702,0.2775509,0.7470123,0.1725747,0.5903534,0.02069656,0.1595168,0.7909544
0.1392918,0.06395181,1.62937,0.1304773,0.01749342,0.02414014,-0.01889624,-0.9993769,-0.1833572,0.7239172,0.02724909,0.6522431,-0.1247123,-0.0869351,0.742609,0.2745594,0.7527844,0.1963637,0.5728997,0.01302964,0.1614506,0.8034612
0.1532059,0.06517979,1.627435,0.1319133,0.02031119,0.02465825,-0.01998196,-0.9992899,-0.1845044,0.7222837,0.02119635,0.6553113,-0.1323111,-0.08500727,0.7388062,0.2713738,0.7593107,0.2211821,0.5547621,0.01172235,0.1537041,0.8176042
0.1670799,0.06651388,1.625441,0.1334537,0.02200308,0.02552509,-0.02216784,-0.9991862,-0.1852725,0.7206271,0.01521982,0.6574436,-0.1378452,-0.08678472,0.7356868,0.2679346,0.7672952,0.2469945,0.5346859,0.01326274,0.1420973,0.8329127
0.1809998,0.06789012,1.624456,0.1354064,0.02145707,0.0265721,-0.0253771,-0.9990944,-0.1853777,0.7190866,0.009685853,0.6580786,-0.1402038,-0.09073266,0.7341955,0.2634596,0.777181,0.2735851,0.511573,0.01272439,0.1290049,0.8494051
0.1949177,0.06912311,1.623955,0.1374969,0.02223897,0.02751163,-0.0286113,-0.9989644,-0.1845223,0.718044,0.004753563,0.656813,-0.139449,-0.09453243,0.7349927,0.257355,0.7893072,0.3009771,0.4823985,0.006039901,0.1220755,0.8673828
0.2088127,0.07005055,1.624518,0.139607,0.02358742,0.02845797,-0.03080273,-0.9988418,-0.1823867,0.7177734,0.0004425598,0.6535375,-0.1361471,-0.09360354,0.7386414,0.249423,0.803782,0.3284998,0.4486912,-0.007148238,0.1250584,0.8848647
0.222784,0.0707588,1.625105,0.1417141,0.02609629,0.02892293,-0.03243136,-0.9987145,-0.1795563,0.7182103,-0.004235284,0.6518072,-0.1338272,-0.08710509,0.7413841,0.240207,0.8208091,0.3554662,0.4115889,-0.02239495,0.1332288,0.9013008
0.2366791,0.0713855,1.625574,0.1437947,0.02933397,0.02940186,-0.03318126,-0.9985861,-0.1768598,0.7190072,-0.01012521,0.6546016,-0.1345187,-0.07793707,0.7398157,0.2293098,0.8409696,0.3811468,0.3747115,-0.03944467,0.1405156,0.9155822
0.2505531,0.071803,1.625532,0.1459869,0.03189873,0.03000797,-0.03384577,-0.9984671,-0.1745159,0.7199516,-0.01704639,0.6605782,-0.13771,-0.06940103,0.7347489,0.218157,0.86146,0.4041836,0.3455738,-0.05795892,0.1438282,0.9254907
