DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,0.02109939,1.650921,0.02009956,0.02784135,0.00417867,0.01945709,-0.9994143,-0.1820495,0.785073,0.09684074,0.5437694,-0.01520661,-0.05213724,0.8374756,0.2607947,0.7525337,0.007712873,0.6175115,0.03730798,0.03370827,0.7849531
0.01364708,0.02164011,1.650754,0.02076315,0.02616526,0.004274219,0.01908053,-0.9994664,-0.1815542,0.7847692,0.09705091,0.5494559,-0.01900417,-0.05534991,0.8334708,0.2609367,0.7521234,0.006717085,0.6185862,0.03786441,0.03465119,0.7840387
0.02751923,0.02217857,1.651052,0.02166969,0.02499787,0.004209801,0.01863691,-0.9995049,-0.1809318,0.7849106,0.09773804,0.5477187,-0.02002911,-0.05460023,0.8346388,0.260709,0.7518089,0.005154118,0.621767,0.03780547,0.03075083,0.7816847
0.04148102,0.02285458,1.650956,0.02276734,0.02632236,0.004173378,0.01905946,-0.9994631,-0.1811179,0.7851701,0.09730301,0.5442165,-0.01858158,-0.04293369,0.8376395,0.2587752,0.7502332,0.0006953366,0.6296387,0.03561289,0.01681977,0.7758892
0.05535126,0.02345005,1.650576,0.02408092,0.02840215,0.00415886,0.0200985,-0.9993859,-0.1805497,0.7851948,0.09766153,0.5444964,-0.02029407,-0.03519858,0.8377786,0.2573691,0.7494897,-0.001670294,0.6339542,0.03320002,0.006956248,0.7726263
0.06933022,0.02437161,1.650441,0.02534964,0.02932845,0.003964392,0.02079853,-0.9993456,-0.1791131,0.7847835,0.09886051,0.5473878,-0.02322989,-0.03099196,0.8359823,0.2567809,0.749033,-0.003122663,0.6331881,0.03313183,0.0007633542,0.7732881
0.08327866,0.02537605,1.64997,0.02694351,0.03049348,0.003578083,0.02154779,-0.9992963,-0.1788549,0.7839751,0.09887963,0.5491697,-0.02416623,-0.03173963,0.8347583,0.257757,0.7487051,-0.003857242,0.6282762,0.03666006,0.0001490941,0.7771263
0.09716988,0.02650394,1.649762,0.02851112,0.03079577,0.003294012,0.02221332,-0.9992734,-0.1792639,0.7834964,0.09891549,0.5474786,-0.02431482,-0.03742275,0.8356288,0.2588095,0.7478769,-0.005459393,0.6279711,0.04067068,-0.002485779,0.7771692
0.1110992,0.02771716,1.649519,0.03022775,0.03106745,0.002878593,0.02229618,-0.9992645,-0.1778794,0.7826279,0.09936213,0.5501208,-0.02453995,-0.04087054,0.8337232,0.2609358,0.7463335,-0.007588556,0.6291643,0.04651304,0.001053686,0.7758787
0.1249714,0.02905955,1.649095,0.03210999,0.03108847,0.002536599,0.02206885,-0.9992698,-0.1766811,0.7815399,0.09951799,0.5525301,-0.02353646,-0.04412938,0.8319911,0.2643629,0.7441549,-0.01046993,0.633075,0.05497974,0.01008525,0.7720697
0.1389294,0.03057685,1.648702,0.03408625,0.03013597,0.002415974,0.02199501,-0.9993009,-0.1758166,0.780689,0.09951565,0.5544838,-0.02259475,-0.05040048,0.8303596,0.267003,0.7423066,-0.01335038,0.6371878,0.06183566,0.01331723,0.7681085
0.1530266,0.03211745,1.648613,0.03623481,0.02811768,0.002136626,0.02191957,-0.999362,-0.1755238,0.7795831,0.09813499,0.5594869,-0.02089286,-0.05453447,0.8267792,0.2695698,0.7403331,-0.01643887,0.641271,0.06742173,0.0148646,0.7642022
0.1667213,0.03401861,1.648529,0.03862966,0.0275363,0.002016921,0.0226967,-0.9993611,-0.1751062,0.7785507,0.09695846,0.5635251,-0.01964711,-0.05709238,0.8238895,0.2708972,0.7383751,-0.01937783,0.6463392,0.07026482,0.01057371,0.7597346
0.1807098,0.03579017,1.648328,0.0410072,0.02787673,0.001868602,0.02368355,-0.999329,-0.1752203,0.7777739,0.09605227,0.5659668,-0.01997916,-0.06247655,0.8218145,0.2716249,0.7363933,-0.02180614,0.653254,0.07523791,-0.0007484367,0.7533909
0.1946774,0.03769339,1.647816,0.04360403,0.02857486,0.001501281,0.02481252,-0.9992825,-0.1757557,0.7768974,0.09453425,0.5705998,-0.02020785,-0.07240252,0.8177808,0.2729961,0.7349851,-0.02152923,0.6565504,0.08892004,-0.01517661,0.7488688
0.2086201,0.03981386,1.647107,0.04612878,0.02790431,0.001134321,0.02522693,-0.9992916,-0.1768966,0.7760204,0.09269194,0.5728268,-0.02005763,-0.08967966,0.8145089,0.2747779,0.7341478,-0.01708315,0.6527742,0.1061953,-0.02861327,0.7495263
0.2224617,0.04195689,1.646511,0.04881938,0.02689275,0.0007917259,0.02476396,-0.9993312,-0.1772468,0.7749843,0.09030549,0.5779777,-0.01659456,-0.09820397,0.8099521,0.2758486,0.7338605,-0.01061505,0.6459486,0.1180227,-0.04141696,0.7530642
0.2364502,0.04435075,1.645777,0.05178179,0.02608315,0.0004524667,0.02312005,-0.9993923,-0.1771914,0.7732433,0.08670226,0.5871491,-0.01226096,-0.102391,0.8028834,0.275558,0.7341682,-0.001072471,0.6369367,0.1211357,-0.05517929,0.7593372
0.2503471,0.04673901,1.645254,0.05514755,0.02690893,0.0001885007,0.02107453,-0.9994157,-0.176777,0.7712329,0.0825964,0.595652,-0.006227033,-0.1093418,0.7957413,0.2746312,0.7346962,0.01157017,0.6263092,0.1160994,-0.05959693,0.768574
0.2642727,0.04905055,1.645131,0.05857708,0.02880133,0.0006701633,0.01982364,-0.9993883,-0.1766623,0.7692901,0.07862901,0.6031212,-0.001678043,-0.1166123,0.7890777,0.2745651,0.7348195,0.02305858,0.6172535,0.1132169,-0.059681,0.7762849
0.2782345,0.05130449,1.644731,0.06243949,0.03375361,0.00178265,0.0191796,-0.9992446,-0.177073,0.7669679,0.07392927,0.6125171,0.002149588,-0.1243275,0.7806157,0.2757972,0.7349355,0.03651566,0.6117259,0.1161862,-0.05471719,0.7805756
0.2921734,0.05373053,1.644139,0.06610804,0.03799802,0.002803784,0.01850535,-0.9991025,-0.1785445,0.7645035,0.06942344,0.6159459,0.003737918,-0.1351111,0.7761068,0.2776449,0.7348222,0.04823319,0.6114047,0.1211295,-0.04260158,0.780831
0.3060894,0.05599698,1.643429,0.07000646,0.04226132,0.003079201,0.01934946,-0.9989145,-0.1810688,0.7619889,0.06514528,0.6179667,0.00317817,-0.1484742,0.7720509,0.2779498,0.7353442,0.06476148,0.6095303,0.109178,-0.004797599,0.7851942
0.319994,0.05822666,1.642317,0.07371622,0.04476907,0.002966098,0.01931287,-0.9988063,-0.1842758,0.7591324,0.06123376,0.6171756,-0.0001580365,-0.1626538,0.7698299,0.2730346,0.7381749,0.08715682,0.5933275,0.07114252,0.03442753,0.8010718
0.3337975,0.06030632,1.640441,0.07740646,0.04634219,0.00294694,0.01833388,-0.998753,-0.1868934,0.7563977,0.05749351,0.619296,-0.005124665,-0.1702305,0.7664645,0.2669877,0.7426153,0.1100827,0.5685015,0.04010404,0.04956598,0.8202079
0.3477745,0.06237951,1.637999,0.08093172,0.04596439,0.002944531,0.01610696,-0.9988089,-0.1895838,0.7541148,0.05443428,0.6191683,-0.01512495,-0.1677652,0.7669789,0.260583,0.7488292,0.1362834,0.5399792,0.02048217,0.04670056,0.8401322
0.3617363,0.06417259,1.634988,0.08452018,0.04409587,0.003165119,0.01256463,-0.9989433,-0.1914075,0.7521748,0.05186607,0.6183736,-0.02751841,-0.1505269,0.7708427,0.2555902,0.7552748,0.1628998,0.5220727,0.01841198,0.02046096,0.8524567
0.3756428,0.06590158,1.632414,0.08827562,0.04155098,0.003859458,0.01008773,-0.999078,-0.1920653,0.750223,0.04867485,0.6203399,-0.03679828,-0.1237193,0.7736394,0.2526093,0.7616335,0.187615,0.5122269,0.0227531,-0.008974984,0.8585018
0.3895321,0.06746685,1.631154,0.09220792,0.03832014,0.004530569,0.009062377,-0.9992142,-0.1933405,0.747912,0.0441085,0.6271586,-0.04837227,-0.1001948,0.7709041,0.2503287,0.769246,0.2134688,0.499221,0.02294191,-0.02442553,0.8658265
0.4035912,0.06918237,1.630738,0.09644216,0.03669587,0.00465206,0.008144541,-0.9992825,-0.1955874,0.7450781,0.03961956,0.6328142,-0.06131637,-0.08769789,0.766874,0.2483118,0.7781162,0.2400243,0.4797096,0.01655229,-0.01744123,0.8770978
0.4174881,0.07064537,1.631963,0.10089,0.03509283,0.004081518,0.009043161,-0.9993348,-0.1989931,0.7422646,0.03506979,0.6352975,-0.07843109,-0.08221077,0.7638632,0.2454076,0.7912631,0.2698081,0.4506153,0.002293647,0.009567896,0.892664
0.4314041,0.0717148,1.633886,0.1055267,0.03500962,0.003170373,0.01085119,-0.9993231,-0.2023166,0.740259,0.03058372,0.6358629,-0.09435888,-0.08108535,0.7617086,0.241212,0.8060798,0.298019,0.4227494,-0.01198791,0.02814861,0.9057301
0.4452362,0.07253063,1.633881,0.11044,0.03907155,0.002572514,0.01241641,-0.9991559,-0.2051357,0.738673,0.02562125,0.6379874,-0.1093908,-0.07816242,0.7582192,0.2370537,0.8217526,0.3249101,0.3982081,-0.01962198,0.03530645,0.9164054
0.4590664,0.07328655,1.633304,0.1151015,0.0412375,0.002342351,0.01366128,-0.9990532,-0.2070055,0.7377365,0.01995846,0.6413303,-0.1233925,-0.06945642,0.7540859,0.2319891,0.8431439,0.3527764,0.3723233,-0.02196821,0.03049274,0.9273419
0.4730511,0.07425979,1.632581,0.119524,0.04057882,0.002484151,0.01304704,-0.9990881,-0.2072512,0.737356,0.01345599,0.6478027,-0.1334248,-0.05354929,0.748119,0.2267122,0.863123,0.3789164,0.3463551,-0.02869825,0.02997212,0.9371853
0.4870319,0.07503755,1.632357,0.124078,0.03685721,0.00277242,0.01074412,-0.9992589,-0.2060149,0.736737,0.00668177,0.6572307,-0.1380579,-0.03798474,0.7399629,0.2198667,0.8862242,0.4043997,0.3201845,-0.04202794,0.04000778,0.9455765
0.5009232,0.07590913,1.633263,0.1288414,0.03206933,0.003385578,0.008249727,-0.9994459,-0.2041418,0.7367426,0.0006054994,0.6633066,-0.1390408,-0.0271202,0.7348173,0.2116016,0.9116195,0.4288547,0.292596,-0.05999613,0.05735622,0.9526271
0.5148315,0.07670711,1.63464,0.1340207,0.02972455,0.00374973,0.007379247,-0.9995239,-0.2023246,0.7370394,-0.004683899,0.6677587,-0.1396735,-0.02075312,0.7308618,0.202923,0.9408333,0.4527081,0.2553656,-0.07564305,0.06983225,0.961348
0.5287266,0.07728962,1.636331,0.1396243,0.0299711,0.003669942,0.007548608,-0.9995155,-0.201243,0.7377604,-0.008904466,0.6687382,-0.1424847,-0.02157171,0.7293984,0.1946515,0.9739197,0.4753613,0.2106425,-0.08529474,0.06460603,0.9716896
0.5426731,0.07778953,1.636562,0.1455838,0.03193443,0.003270673,0.007651954,-0.9994553,-0.2005346,0.7385933,-0.01298003,0.6701369,-0.1480788,-0.02034127,0.727032,0.1867828,1.00853,0.4955037,0.1688195,-0.09238178,0.0407851,0.9804602
0.5566292,0.07812131,1.636664,0.1512901,0.03180054,0.003359751,0.00649555,-0.9994675,-0.199487,0.7402482,-0.01611701,0.6702189,-0.1532965,-0.01839592,0.7259259,0.1790819,1.043495,0.5121403,0.1345662,-0.09889077,0.01285187,0.9858739
0.5706043,0.07834744,1.636779,0.157135,0.03161686,0.004079026,0.004335381,-0.9994824,-0.1979024,0.7419726,-0.01879297,0.6699864,-0.1567418,-0.01229047,0.7255338,0.1711026,1.075047,0.5276397,0.1037486,-0.1101975,0.003851893,0.9884725
0.584383,0.07856482,1.637677,0.1630446,0.03137845,0.005248409,0.001730292,-0.9994923,-0.1962675,0.7429848,-0.02217795,0.6737826,-0.1597636,-0.003655012,0.7214425,0.1627094,1.106213,0.5407022,0.07118118,-0.1239918,0.01211003,0.9896528
0.5982246,0.07871061,1.638849,0.1693545,0.0331214,0.006650034,-0.0004948782,-0.9994291,-0.1949624,0.743675,-0.02578396,0.6810125,-0.163445,0.001169487,0.7137972,0.154173,1.13765,0.5502962,0.03559408,-0.1371641,0.03594322,0.9892558
0.6122303,0.0786471,1.640341,0.1758845,0.03583639,0.007655412,-0.001665432,-0.9993269,-0.1940326,0.7441688,-0.02876661,0.6879358,-0.166678,0.0004933471,0.7063729,0.1465222,1.168141,0.5579159,0.0009835679,-0.1472751,0.05344157,0.9876503
0.6261997,0.07853451,1.641467,0.1826456,0.03871502,0.008290593,-0.002281809,-0.9992133,-0.1933549,0.7449865,-0.03039533,0.6916384,-0.1680421,-0.005472223,0.7024018,0.1404948,1.196851,0.5627292,-0.02832675,-0.1545072,0.05484787,0.9860613
0.6402187,0.07838999,1.642242,0.1892839,0.04011315,0.008653991,-0.002606836,-0.9991543,-0.1933355,0.7465127,-0.02996795,0.6898741,-0.1691537,-0.01720721,0.7036794,0.1357602,1.222808,0.5678284,-0.05252221,-0.1599673,0.04677675,0.9846135
0.6540337,0.07798305,1.64291,0.1959915,0.04014455,0.008559317,-0.002730273,-0.9991535,-0.1934042,0.7482544,-0.02799718,0.6856752,-0.1712429,-0.02645721,0.7069833,0.1323001,1.245432,0.5725147,-0.07165581,-0.1637899,0.0350912,0.9832634
0.6680679,0.07742304,1.643246,0.2028464,0.03889214,0.008238493,-0.003408699,-0.9992036,-0.1929242,0.7498835,-0.02526195,0.6848593,-0.1743472,-0.02388645,0.7071071,0.129976,1.26404,0.5760803,-0.08823252,-0.1673244,0.02410476,0.9816499
0.6819019,0.07698257,1.643461,0.2097498,0.03783574,0.008344267,-0.004383132,-0.9992396,-0.1921491,0.7510796,-0.02336968,0.6866913,-0.1794958,-0.01281716,0.7043238,0.1270913,1.281778,0.5807157,-0.1070687,-0.1725894,0.01989204,0.9789553
0.6958218,0.0761958,1.643361,0.2168843,0.03666901,0.008200877,-0.006320359,-0.9992738,-0.1915838,0.7516557,-0.02007963,0.6901366,-0.1872211,0.004910398,0.6990248,0.125125,1.293354,0.5843331,-0.1207412,-0.1767751,0.02083425,0.9765952
0.709816,0.07540905,1.642949,0.2240597,0.03633646,0.00845039,-0.008445707,-0.9992682,-0.1914397,0.751938,-0.01674957,0.6943725,-0.1946048,0.01777665,0.6925747,0.1230166,1.302914,0.5890594,-0.1310775,-0.1808588,0.0243187,0.9744318
0.7236366,0.07447311,1.642409,0.2312979,0.03629338,0.008717233,-0.01017051,-0.9992514,-0.1919538,0.7517095,-0.01213623,0.6974096,-0.2006321,0.02355431,0.6876132,0.1212814,1.309105,0.5945331,-0.1371018,-0.1836196,0.02949758,0.9729424
0.7375984,0.07339083,1.642003,0.2386725,0.03670731,0.008760525,-0.01033687,-0.9992342,-0.1929519,0.751733,-0.00691015,0.6968705,-0.205012,0.0192201,0.6870023,0.1199442,1.312176,0.6008961,-0.1381186,-0.1852876,0.03462985,0.972313
0.7514973,0.07224265,1.641511,0.2461355,0.03751452,0.008769717,-0.009713213,-0.9992104,-0.1949309,0.7512117,0.002660821,0.6913314,-0.2024516,-0.002511604,0.6935906,0.1188247,1.314211,0.6081377,-0.136797,-0.1857271,0.03909789,0.9722466
0.7654095,0.07112894,1.640702,0.2537737,0.03896728,0.008885985,-0.009527626,-0.9991556,-0.1968571,0.7497772,0.01226412,0.688234,-0.1990989,-0.02003152,0.6973466,0.1191299,1.30835,0.6172007,-0.1223787,-0.1800909,0.04599212,0.9749233
0.7794685,0.06997272,1.639518,0.2615715,0.04039826,0.008760958,-0.009395082,-0.9991011,-0.1990848,0.7475682,0.02201512,0.68767,-0.1973676,-0.03282609,0.6979101,0.1195427,1.299627,0.6273732,-0.1028549,-0.173139,0.05203994,0.9781286
0.7933426,0.06875026,1.63846,0.2693769,0.04068329,0.008513959,-0.00928019,-0.9990928,-0.2017171,0.7453479,0.03363048,0.6838203,-0.1958298,-0.04513127,0.7014297,0.1191533,1.293621,0.636641,-0.09166721,-0.1700814,0.05631565,0.9795397
0.8072205,0.06741638,1.637384,0.2773649,0.04069061,0.008145086,-0.008865271,-0.9990993,-0.204656,0.7437873,0.04688691,0.6746163,-0.1961438,-0.05746502,0.7093082,0.1188862,1.284074,0.6456615,-0.08301989,-0.1689253,0.05964348,0.9803135
0.8210545,0.06589327,1.636308,0.285606,0.04085382,0.007690457,-0.008470616,-0.9990996,-0.207623,0.7419155,0.06222952,0.6644862,-0.1978788,-0.06369941,0.7178053,0.1186803,1.270783,0.6545117,-0.07456271,-0.1697252,0.06218784,0.9806969
0.8350868,0.06438605,1.635496,0.2937083,0.04029224,0.007311326,-0.008156408,-0.9991279,-0.2112611,0.7399086,0.07830248,0.6555435,-0.2032609,-0.06971826,0.7239387,0.1184595,1.258491,0.6633826,-0.06470431,-0.1697509,0.06463987,0.9812338
0.8489799,0.06273516,1.634619,0.3020408,0.04045913,0.006781462,-0.008032411,-0.9991259,-0.2152755,0.7375796,0.09478092,0.6502661,-0.2104579,-0.0747864,0.7261326,0.1189415,1.241243,0.6727411,-0.04882519,-0.1682591,0.06694174,0.9822544
