DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,0.02129167,1.639703,0.09283889,-0.010194,0.002081924,0.0105731,-0.99989,-0.1828977,0.741628,0.08996972,0.5827227,-0.002373392,-0.1692161,0.7948551,0.2667491,0.7318962,0.003999867,0.6711275,0.1131355,0.06892817,0.7294088
0.0142231,0.02214756,1.639098,0.09382129,-0.0115701,0.00288451,0.01063719,-0.9998723,-0.182847,0.7414602,0.08994739,0.5827243,-0.001718714,-0.169835,0.7947235,0.2682588,0.731153,0.003028285,0.6731496,0.1110651,0.07164979,0.7275991
0.02799034,0.02295911,1.63887,0.0949019,-0.01270722,0.003778521,0.01077426,-0.9998541,-0.1828516,0.7413113,0.09004259,0.5826203,-0.00149062,-0.1703664,0.7946865,0.2695572,0.7303622,0.002713488,0.6741544,0.1098045,0.07419194,0.7266047
0.04194069,0.02388335,1.638666,0.09612773,-0.01275193,0.004726431,0.01063068,-0.999851,-0.1826108,0.7412744,0.09058472,0.5825691,-0.001723617,-0.1705433,0.7946857,0.270832,0.7294425,0.002599234,0.675481,0.1094194,0.07530899,0.7253148
0.05576706,0.02479379,1.63867,0.09755892,-0.01236686,0.005791321,0.01059289,-0.9998507,-0.1823959,0.741163,0.09138976,0.5826923,-0.002779122,-0.1706676,0.7945656,0.2721245,0.7283131,0.002526433,0.677392,0.1099195,0.07462876,0.7235249
0.06977844,0.0257727,1.638967,0.09902681,-0.0123209,0.00655293,0.01064667,-0.999846,-0.1824215,0.7410796,0.09207983,0.5832973,-0.004770327,-0.1706332,0.7941195,0.273394,0.727312,0.002456946,0.6799289,0.1105318,0.07383651,0.7211294
0.08369637,0.02687445,1.639194,0.1006208,-0.01079271,0.007311282,0.01074391,-0.9998574,-0.1830601,0.7414038,0.09290265,0.5844222,-0.0109384,-0.1691718,0.7935439,0.2746494,0.7265947,0.002781985,0.6827105,0.1107422,0.07275917,0.718574
0.09771156,0.0282427,1.63837,0.1022404,-0.008264555,0.008046867,0.009468602,-0.9998887,-0.1844402,0.7424059,0.09289072,0.5866458,-0.02005295,-0.1627649,0.7930651,0.2757511,0.7262486,0.004190448,0.6840742,0.1099731,0.0711036,0.7175603
0.1115284,0.0295261,1.637549,0.103501,-0.008128623,0.008565421,0.008665039,-0.9998927,-0.185428,0.7431694,0.09232172,0.587956,-0.02590823,-0.1569265,0.7931018,0.2769133,0.7259443,0.006346719,0.6847015,0.1090611,0.07085199,0.7171259
0.1254005,0.03085565,1.63658,0.1048357,-0.008577661,0.009199549,0.008411822,-0.9998856,-0.1860673,0.7435083,0.0916687,0.5894036,-0.03053737,-0.1514852,0.7929206,0.2776211,0.72594,0.008949978,0.6832948,0.1082809,0.07291669,0.7183778
