DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,0.1359857,1.623243,0.2197927,0.01732757,-0.01275987,-0.006441265,0.9997477,-0.09109847,0.7246075,0.1357379,-0.6519614,0.02914615,0.1359423,-0.7453969,0.3058485,0.7055857,0.135123,-0.6866007,-0.003294903,-0.07333881,-0.7233189
0.01407242,0.1362854,1.623646,0.2222115,0.0180243,-0.01293212,-0.005393137,0.9997393,-0.09306289,0.7256298,0.1346766,-0.6533882,0.03961417,0.1257019,-0.745462,0.3070475,0.7080468,0.1490788,-0.6815991,-0.009517919,-0.06937008,-0.728368
0.02788162,0.1364553,1.623976,0.2247191,0.01751756,-0.01319665,-0.00493456,0.9997473,-0.09556542,0.7264277,0.1327587,-0.6557843,0.05318544,0.1130759,-0.7445348,0.3073588,0.7118235,0.166438,-0.6694925,-0.01034958,-0.07029378,-0.739413
0.04190063,0.1365737,1.624728,0.2272897,0.01716391,-0.01320364,-0.004555771,0.9997551,-0.09802598,0.7268506,0.1298233,-0.6595089,0.06519908,0.1010978,-0.7420083,0.3067254,0.7163427,0.1852149,-0.652424,-0.007299373,-0.07211301,-0.7543802
0.05573273,0.1364945,1.625164,0.2296724,0.01483336,-0.01316259,-0.005203655,0.9997898,-0.1003925,0.7271761,0.126213,-0.6635799,0.07423826,0.0924895,-0.7386448,0.3043773,0.722863,0.2086785,-0.6277481,0.0008075276,-0.07072624,-0.7751964
0.0696888,0.1359464,1.625468,0.2319452,0.01228638,-0.01301408,-0.006635545,0.9998178,-0.1030047,0.7278737,0.1224086,-0.6661382,0.08178937,0.08785062,-0.7361064,0.3023742,0.7295036,0.2311803,-0.6076726,0.006709482,-0.06589524,-0.7914208
0.0835762,0.1355443,1.625739,0.2339475,0.01177595,-0.0133616,-0.007087095,0.9998162,-0.105439,0.7290163,0.1191737,-0.6666758,0.08743814,0.08346603,-0.7354804,0.3015944,0.7363138,0.2530342,-0.5937703,0.006960849,-0.06049798,-0.8023269
0.09748459,0.1350755,1.626481,0.2354945,0.01376213,-0.01393774,-0.006078048,0.9997897,-0.1086226,0.7306812,0.1156904,-0.6653987,0.09427415,0.0771621,-0.7364801,0.3025666,0.7464345,0.2805858,-0.5776448,-0.002230137,-0.05919207,-0.8141362
0.1114159,0.1345453,1.626883,0.2370178,0.0152716,-0.01418899,-0.003827242,0.9997754,-0.1116703,0.7318721,0.1119662,-0.6651514,0.1022578,0.06672724,-0.7366576,0.302976,0.7576799,0.3086659,-0.5549999,-0.005281087,-0.06816051,-0.8290364
0.1254253,0.1338364,1.627574,0.23867,0.01750802,-0.01428465,-0.001658475,0.9997433,-0.1149592,0.7323541,0.1072514,-0.6670524,0.1104793,0.05787949,-0.7344968,0.3016429,0.7714174,0.3385171,-0.5263387,-0.001021591,-0.08165057,-0.8463449
0.1392803,0.1329145,1.629104,0.2404793,0.01947639,-0.0143937,0.0004649391,0.9997066,-0.118711,0.7323409,0.1015825,-0.6710273,0.1203619,0.0509643,-0.7298205,0.298604,0.7874196,0.3687829,-0.4946414,0.007531936,-0.09287449,-0.8640876
0.1532478,0.1318921,1.631126,0.242571,0.01899272,-0.01424983,0.00234871,0.9997153,-0.1226829,0.7321492,0.09526518,-0.6766244,0.1314472,0.04372683,-0.7231798,0.2946655,0.8051476,0.3981915,-0.4631666,0.01535465,-0.09960825,-0.8805221
0.1671085,0.1308994,1.63331,0.2447149,0.0160826,-0.01438862,0.003826263,0.9997599,-0.126592,0.7322425,0.08915012,-0.68217,0.1428526,0.0360902,-0.7161947,0.2908694,0.8226402,0.4253344,-0.4375756,0.02033697,-0.1026435,-0.8930724
0.181118,0.1296968,1.635126,0.2471143,0.01148923,-0.01450178,0.005997387,0.9998109,-0.1304439,0.7326337,0.0820149,-0.689601,0.1529072,0.02922799,-0.7072592,0.2861445,0.8432473,0.451778,-0.4147382,0.02420845,-0.102046,-0.9038765
