DeltaTime,MainCam_x,MainCam_y,MainCam_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,LeftController_x,LeftController_y,LeftController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,RightController_x,RightController_y,RightController_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
0,0.0382214,1.631478,0.09716996,0.00195907,-0.02521621,-0.0004727513,0.99968,-0.2193668,0.7288077,0.0202069,-0.6735858,0.07001976,0.1147899,-0.7267755,0.2514648,0.7164778,0.004481766,-0.7021458,-0.06524931,-0.0170465,-0.7088323
0.01410294,0.04009321,1.630726,0.1010301,0.001352947,-0.02572397,-0.0007636658,0.9996679,-0.2187755,0.727949,0.01924557,-0.6748937,0.0737327,0.1096354,-0.7259904,0.2506795,0.716708,0.01664221,-0.6946194,-0.06814828,-0.004377767,-0.7161289
0.02795792,0.04202091,1.629761,0.1049413,-0.0001911351,-0.02601327,-0.001379802,0.9996606,-0.218171,0.7268825,0.01816878,-0.6754239,0.07647186,0.1087514,-0.7253467,0.2500519,0.7163003,0.02906482,-0.6912867,-0.06937688,0.003669857,-0.719233
0.04179573,0.0436215,1.628274,0.1090526,-0.001882864,-0.02562726,-0.0029463,0.9996655,-0.2174602,0.7256458,0.01674231,-0.6763748,0.07725197,0.1105763,-0.7241009,0.2494553,0.7155968,0.04303806,-0.6879996,-0.06843089,0.006514175,-0.7224481
0.05577469,0.04524034,1.626949,0.1130504,-0.001465261,-0.02525041,-0.003385097,0.9996744,-0.2169461,0.7245423,0.01537705,-0.6770409,0.0780549,0.1123867,-0.723113,0.2492292,0.715427,0.05764432,-0.6792569,-0.06607167,0.003892474,-0.7309101
0.06983185,0.0471249,1.625585,0.1169206,-0.0007808686,-0.02479289,-0.001627557,0.999691,-0.2162627,0.7230837,0.01310038,-0.6782143,0.0786146,0.1161296,-0.7213592,0.2479025,0.7165528,0.0819011,-0.6555343,-0.05001956,-0.02399988,-0.7531247
0.08365059,0.04892057,1.624318,0.1210099,0.0006291199,-0.02391274,0.002160134,0.9997115,-0.2154793,0.7216588,0.009998256,-0.6810779,0.08045754,0.1153099,-0.7185841,0.2449553,0.7187157,0.1033817,-0.6358808,-0.02848234,-0.04683605,-0.7698382
0.09764671,0.05061485,1.62398,0.1249564,0.00293337,-0.02297605,0.00558688,0.9997162,-0.214832,0.7204434,0.006461129,-0.6848551,0.08356407,0.1127622,-0.7150352,0.2406415,0.7216204,0.1253922,-0.6213572,-0.005868893,-0.06130191,-0.7811037
0.1113644,0.05196839,1.62372,0.1292327,0.002580555,-0.0218393,0.006068484,0.9997398,-0.2143708,0.7195151,0.002776968,-0.6886395,0.08710667,0.1103132,-0.7113502,0.2370743,0.7252451,0.1477097,-0.6091988,0.007652408,-0.06913912,-0.7899608
0.1252613,0.05320167,1.623466,0.1333222,0.001058671,-0.02095521,0.006261957,0.9997603,-0.2139674,0.7186663,-0.001586466,-0.6932988,0.09136631,0.1071509,-0.7067586,0.2333716,0.7310727,0.1750642,-0.5947022,0.01295065,-0.06755197,-0.8009983
0.1393299,0.05440874,1.622754,0.1376338,-6.092438E-05,-0.02017507,0.006962181,0.9997723,-0.2136432,0.7177478,-0.006301512,-0.6994066,0.09538718,0.1053515,-0.7004519,0.2301969,0.737815,0.2021135,-0.5768446,0.01438546,-0.0614885,-0.8144093
0.1533165,0.05541074,1.623137,0.1416914,0.002112159,-0.02000504,0.006529396,0.9997763,-0.2131968,0.7168916,-0.01072277,-0.7048984,0.0985563,0.1044487,-0.6946189,0.2266832,0.7465579,0.2306595,-0.5551736,0.01595731,-0.0510822,-0.830011
0.1670895,0.05643535,1.624466,0.146078,0.005172564,-0.02030059,0.006829346,0.9997572,-0.2125383,0.7164658,-0.01519727,-0.7100716,0.1010655,0.1047546,-0.6889199,0.2235001,0.7604103,0.2633491,-0.526941,0.01320875,-0.03828907,-0.8489363
0.1810646,0.05734783,1.626749,0.1507499,0.007641613,-0.02052994,0.007048436,0.9997352,-0.212243,0.7171454,-0.01881942,-0.7132725,0.1083361,0.1000316,-0.6852003,0.2215193,0.7748601,0.2935765,-0.4997436,0.0106311,-0.03761251,-0.8652911
0.1948395,0.05825643,1.628481,0.1554269,0.007946865,-0.02049552,0.006851676,0.9997349,-0.2116664,0.7183558,-0.02205785,-0.7163152,0.1133509,0.09489726,-0.6819375,0.2195459,0.7907577,0.3229854,-0.4732969,0.009317421,-0.04431561,-0.8797382
0.2087936,0.05887659,1.629921,0.1603948,0.006886268,-0.01990477,0.007058849,0.9997532,-0.2108046,0.7206028,-0.02521141,-0.7191249,0.1186759,0.08766589,-0.6790362,0.2163372,0.8129776,0.3545962,-0.4399057,0.01196804,-0.06382355,-0.8956932
0.2227058,0.05949852,1.631459,0.1651387,0.006878725,-0.01940207,0.00738073,0.9997609,-0.2099472,0.7234764,-0.02809198,-0.7220627,0.1272857,0.07313534,-0.6760733,0.2096494,0.8374882,0.3853706,-0.4014572,0.026682,-0.08377776,-0.9116477
0.2366905,0.05979003,1.633555,0.1699214,0.006981693,-0.01901274,0.008122104,0.9997619,-0.2088313,0.7262379,-0.03107973,-0.7266783,0.1317157,0.06526939,-0.671066,0.1998299,0.8645165,0.4147444,-0.3606561,0.04884972,-0.1024708,-0.9257649
0.2505646,0.06010699,1.635645,0.1749446,0.006071444,-0.01893901,0.009354391,0.9997585,-0.2077235,0.7287359,-0.03386401,-0.731022,0.1348406,0.061214,-0.6660914,0.1894706,0.8917277,0.4416927,-0.3243935,0.06838726,-0.1065547,-0.9374104
0.2645302,0.06034434,1.638176,0.1803008,0.005070754,-0.0191022,0.01082684,0.9997461,-0.2062176,0.7314835,-0.03616821,-0.7349105,0.1349044,0.0599578,-0.6619006,0.1801534,0.9196314,0.4667649,-0.2933536,0.07947541,-0.09154676,-0.9482861
0.2783146,0.06049758,1.640404,0.1857319,0.003716363,-0.01918275,0.01183963,0.999739,-0.2043878,0.7344289,-0.03786758,-0.7373448,0.1322108,0.06151273,-0.6595902,0.1728537,0.9488384,0.4904292,-0.2649699,0.08153609,-0.0656034,-0.9585609
0.2922268,0.06067491,1.642116,0.1912687,0.002693016,-0.01928416,0.01272643,0.9997295,-0.202225,0.7374448,-0.03908252,-0.7390352,0.1264561,0.06605342,-0.6583865,0.1678967,0.979181,0.5126854,-0.236046,0.07784025,-0.04243105,-0.9676894
0.3061695,0.06054309,1.64371,0.1967262,0.002812041,-0.01886263,0.01324995,0.9997303,-0.1999689,0.7402899,-0.04047562,-0.7416025,0.1194794,0.07190295,-0.6561862,0.1639271,1.01029,0.5340759,-0.2016453,0.07372956,-0.03629227,-0.9760051
0.3200932,0.06010187,1.645524,0.2020062,0.003972891,-0.01837756,0.01325085,0.9997354,-0.197265,0.7432252,-0.04129844,-0.7451238,0.1089246,0.07990166,-0.6531016,0.1603906,1.045089,0.5516369,-0.1612454,0.07009231,-0.05410456,-0.9829342
0.3341007,0.05953496,1.647566,0.2074196,0.003821759,-0.01798088,0.0131282,0.9997448,-0.194772,0.7459355,-0.04159719,-0.7484897,0.1022643,0.07981595,-0.6503342,0.1546378,1.079083,0.5667644,-0.1166672,0.0759495,-0.08043578,-0.9869906
0.3479519,0.05884257,1.649616,0.2128862,0.002196455,-0.01769074,0.01364236,0.9997481,-0.1926822,0.7484635,-0.04133327,-0.7513332,0.09826031,0.07759562,-0.647937,0.14777,1.111631,0.5803882,-0.07429539,0.08411472,-0.1013304,-0.9885024
0.3618584,0.05797593,1.650999,0.218656,-0.002240135,-0.01745306,0.01393738,0.9997481,-0.1909554,0.750594,-0.03961589,-0.7540038,0.09678642,0.06935074,-0.6459886,0.1410043,1.14302,0.5897228,-0.04159086,0.09182709,-0.09891347,-0.9899768
0.3758507,0.05704017,1.651899,0.2244157,-0.006246011,-0.01744666,0.01448321,0.9997234,-0.1897565,0.7523116,-0.03735366,-0.7557082,0.09693415,0.06131871,-0.644786,0.1364412,1.170313,0.5979122,-0.02543308,0.09592873,-0.06363847,-0.9930262
0.3897648,0.05606709,1.652445,0.2302394,-0.00993464,-0.01708891,0.01535578,0.9996867,-0.1890255,0.7536969,-0.03475349,-0.7564342,0.09780881,0.05593124,-0.6442922,0.1319482,1.196012,0.6070175,-0.01070388,0.1023318,-0.03116148,-0.9942045
0.4038544,0.05473297,1.652666,0.236119,-0.01309755,-0.01666161,0.01598254,0.9996477,-0.1891025,0.7540731,-0.03123849,-0.7561675,0.09923162,0.05328145,-0.6446122,0.128913,1.219511,0.6130518,0.006221638,0.1066149,-0.003999383,-0.9942729
0.4176788,0.05334925,1.652237,0.2420695,-0.01557678,-0.01637492,0.01671673,0.9996048,-0.1899484,0.7532876,-0.0271485,-0.7560493,0.09975263,0.05542782,-0.6444894,0.1259816,1.241879,0.619994,0.02876165,0.1093476,0.003409537,-0.9935815
0.4316578,0.05192038,1.651622,0.2480488,-0.01696035,-0.0162852,0.01753781,0.9995697,-0.1907264,0.7523637,-0.02320209,-0.7569947,0.09791265,0.06058371,-0.6431966,0.1239536,1.258838,0.6246067,0.04974034,0.1075519,-0.01200204,-0.9928819
0.4454842,0.0504161,1.650735,0.2542708,-0.01737741,-0.01616321,0.01920461,0.9995339,-0.1913173,0.7513402,-0.01903303,-0.757533,0.09479988,0.0656421,-0.6425325,0.1220594,1.272843,0.6303265,0.0679682,0.1014215,-0.03787352,-0.9917962
0.4593906,0.04888359,1.650139,0.2603828,-0.01788817,-0.01643651,0.02082276,0.9994881,-0.1917813,0.7501455,-0.01481054,-0.7581196,0.09182397,0.06899501,-0.6419211,0.1194654,1.288876,0.6378104,0.08661691,0.09703963,-0.05399356,-0.9900331
0.4734135,0.04706698,1.649273,0.2666318,-0.01929881,-0.0175367,0.02280008,0.9993999,-0.1927408,0.7470514,-0.008659624,-0.7586849,0.08883453,0.07013123,-0.6415507,0.1181894,1.293408,0.6434087,0.09455618,0.08914592,-0.07704955,-0.9885219
0.4872932,0.04511485,1.648537,0.2730376,-0.02263108,-0.01830331,0.02320536,0.9993069,-0.1935241,0.7447618,-0.002555444,-0.7592509,0.08784794,0.06948094,-0.6410876,0.1163692,1.29678,0.6498892,0.09919337,0.08851182,-0.08108858,-0.9878011
0.5011253,0.04300958,1.64747,0.2796782,-0.02627588,-0.01856114,0.02265656,0.9992256,-0.194841,0.7416559,0.004525846,-0.7600778,0.08951403,0.06641285,-0.6402018,0.1142139,1.299274,0.6569349,0.1012581,0.09181523,-0.0763542,-0.9876674
0.5151215,0.04101878,1.646587,0.2863191,-0.02854507,-0.01871218,0.02220665,0.9991706,-0.1961847,0.7388601,0.01151496,-0.7605053,0.09150801,0.06346331,-0.6397113,0.1118608,1.301257,0.6643414,0.101431,0.09620841,-0.06926063,-0.9877543
0.5290222,0.03906411,1.645513,0.2930446,-0.03044872,-0.01868812,0.02253064,0.9991076,-0.1980887,0.7354875,0.01993005,-0.7594255,0.09438069,0.0608556,-0.640829,0.1099642,1.296248,0.6720918,0.09297959,0.1013726,-0.05929343,-0.9887177
0.5429268,0.03705529,1.64413,0.3000542,-0.03268876,-0.01831997,0.02284486,0.9990365,-0.2000659,0.7322197,0.02862231,-0.7583323,0.09778433,0.05850902,-0.641831,0.1088668,1.290055,0.6807535,0.08279452,0.100893,-0.05479096,-0.9899311
0.5568237,0.03490091,1.642911,0.3070821,-0.03442995,-0.01771107,0.02287942,0.9989882,-0.2019336,0.728631,0.03849565,-0.757289,0.1011488,0.05342315,-0.642984,0.1086695,1.281226,0.6902092,0.06910694,0.09538767,-0.05201576,-0.9916753
0.5708714,0.03263265,1.64175,0.3143411,-0.03627108,-0.01678019,0.02301574,0.998936,-0.2033369,0.7252215,0.04884946,-0.7572463,0.1005364,0.04921051,-0.6434662,0.1089299,1.269878,0.6999285,0.05394815,0.08849268,-0.05049712,-0.9933321
0.5847054,0.03038277,1.640514,0.3214959,-0.03851907,-0.01589593,0.02284923,0.9988701,-0.2054777,0.7217478,0.05962737,-0.7588912,0.1002201,0.05057291,-0.6414691,0.1089302,1.256381,0.7093292,0.03888897,0.08309048,-0.05387932,-0.9943243
0.5987816,0.02796276,1.638766,0.3290269,-0.04153841,-0.01490818,0.02253969,0.9987714,-0.2080271,0.7182122,0.07155295,-0.76017,0.09877618,0.05602504,-0.6397234,0.1084453,1.24084,0.7183524,0.02297653,0.08036922,-0.06129419,-0.9946135
